w0,w1,w2,w3,a0,a1,a2,a3,b0,b1,b2,b3,direction
200,400,200,400,,,,,,,,,0
192,400,208,400,,,,,,,,,0
184,400,216,400,,,,,,,,,0
176,400,224,400,,,,,,,,,0
168,400,232,400,,,,,,,,,0
160,400,240,400,,,,,,,,,0
152,400,248,400,,,,,,,,,0
144,400,256,400,,,,,,,,,0
136,400,264,400,,,,,,,,,0
128,400,272,400,,,,,,,,,0
120,400,280,400,,,,,,,,,0
112,400,288,400,,,,,,,,,0
104,400,296,400,,,,,,,,,0
96,400,304,400,,,,,,,,,0
88,400,312,400,,,,,,,,,0
80,400,320,400,,,,,,,,,0
72,400,328,400,,,,,,,,,0
64,400,336,400,,,,,,,,,0
56,400,344,400,,,,,,,,,0
48,400,352,400,0.0,1.0,0.0,0.0,,,,,1
48,392,352,408,0.0,1.0,0.0,0.0,,,,,1
48,384,352,416,0.0,1.0,0.0,0.0,,,,,1
48,376,352,424,0.0,1.0,0.0,0.0,,,,,1
48,368,352,432,0.0,1.0,0.0,0.0,,,,,1
48,360,352,440,0.0,1.0,0.0,0.0,,,,,1
48,352,352,448,0.0,1.0,0.0,0.0,,,,,1
48,344,352,456,0.0,1.0,0.0,0.0,,,,,1
48,336,352,464,0.0,1.0,0.0,0.0,,,,,1
48,328,352,472,0.0,1.0,0.0,0.0,,,,,1
48,320,352,480,0.0,1.0,0.0,0.0,,,,,1
48,312,352,488,0.0,1.0,0.0,0.0,,,,,1
48,304,352,496,0.0,1.0,0.0,0.0,,,,,1
48,296,352,504,0.0,1.0,0.0,0.0,,,,,1
48,288,352,512,0.0,1.0,0.0,0.0,,,,,1
48,280,352,520,0.0,1.0,0.0,0.0,,,,,1
48,272,352,528,0.0,1.0,0.0,0.0,,,,,1
48,264,352,536,0.0,1.0,0.0,0.0,,,,,1
48,256,352,544,0.0,1.0,0.0,0.0,,,,,1
48,248,352,552,0.0,1.0,0.0,0.0,,,,,1
48,240,352,560,0.0,1.0,0.0,0.0,,,,,1
48,232,352,568,0.0,1.0,0.0,0.0,,,,,1
48,224,352,576,0.0,1.0,0.0,0.0,,,,,1
48,216,352,584,0.0,1.0,0.0,0.0,,,,,1
48,208,352,592,0.0,1.0,0.0,0.0,,,,,1
48,200,352,600,,,,,,,,,2
56,200,344,600,,,,,1.0,0.0,0.0,0.0,2
64,200,336,600,,,,,1.0,0.0,0.0,0.0,2
72,200,328,600,,,,,1.0,0.0,0.0,0.0,2
80,200,320,600,,,,,1.0,0.0,0.0,0.0,2
88,200,312,600,,,,,1.0,0.0,0.0,0.0,2
96,200,304,600,,,,,1.0,0.0,0.0,0.0,2
104,200,296,600,,,,,1.0,0.0,0.0,0.0,2
112,200,288,600,,,,,1.0,0.0,0.0,0.0,2
120,200,280,600,,,,,1.0,0.0,0.0,0.0,2
128,200,272,600,,,,,1.0,0.0,0.0,0.0,2
136,200,264,600,,,,,1.0,0.0,0.0,0.0,2
144,200,256,600,,,,,1.0,0.0,0.0,0.0,2
152,200,248,600,,,,,1.0,0.0,0.0,0.0,2
160,200,240,600,,,,,1.0,0.0,0.0,0.0,2
168,200,232,600,,,,,1.0,0.0,0.0,0.0,2
176,200,224,600,,,,,1.0,0.0,0.0,0.0,2
184,200,216,600,,,,,1.0,0.0,0.0,0.0,2
192,200,208,600,,,,,1.0,0.0,0.0,0.0,2
200,200,200,600,,,,,1.0,0.0,0.0,0.0,2
208,200,192,600,,,,,1.0,0.0,0.0,0.0,2
216,200,184,600,,,,,1.0,0.0,0.0,0.0,2
224,200,176,600,,,,,1.0,0.0,0.0,0.0,2
232,200,168,600,,,,,1.0,0.0,0.0,0.0,2
240,200,160,600,,,,,1.0,0.0,0.0,0.0,2
248,200,152,600,,,,,1.0,0.0,0.0,0.0,2
256,200,144,600,,,,,1.0,0.0,0.0,0.0,2
264,200,136,600,,,,,1.0,0.0,0.0,0.0,2
272,200,128,600,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3
272,208,128,592,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,216,128,584,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,224,128,576,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,232,128,568,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,240,128,560,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,248,128,552,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,256,128,544,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,264,128,536,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,272,128,528,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,280,128,520,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,288,128,512,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,296,128,504,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,304,128,496,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,312,128,488,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,320,128,480,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,328,128,472,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,336,128,464,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,344,128,456,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,352,128,448,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,360,128,440,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,368,128,432,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,376,128,424,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,384,128,416,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,392,128,408,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,400,128,400,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,408,128,392,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,416,128,384,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,424,128,376,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,432,128,368,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,440,128,360,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,448,128,352,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,456,128,344,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,464,128,336,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,472,128,328,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,480,128,320,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,488,128,312,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,496,128,304,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,504,128,296,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,512,128,288,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,520,128,280,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,528,128,272,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,536,128,264,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,544,128,256,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,552,128,248,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,560,128,240,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,568,128,232,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,576,128,224,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,584,128,216,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,592,128,208,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,600,128,200,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,608,128,192,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,616,128,184,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,624,128,176,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,632,128,168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,640,128,160,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,648,128,152,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,656,128,144,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,664,128,136,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,672,128,128,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,680,128,120,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,688,128,112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,696,128,104,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,704,128,96,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,712,128,88,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,720,128,80,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,728,128,72,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,736,128,64,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,744,128,56,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,752,128,48,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,760,128,40,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,768,128,32,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
272,776,128,24,,,,,0.0,1.0,0.0,0.0,0
264,776,136,24,,,,,0.0,0.0,1.0,0.0,0
256,776,144,24,,,,,0.0,0.0,1.0,0.0,0
248,776,152,24,,,,,0.0,0.0,1.0,0.0,0
240,776,160,24,,,,,0.0,0.0,1.0,0.0,0
232,776,168,24,,,,,0.0,0.0,1.0,0.0,0
224,776,176,24,,,,,0.0,0.0,1.0,0.0,0
216,776,184,24,,,,,0.0,0.0,1.0,0.0,0
208,776,192,24,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
208,768,192,32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
